mine_id,mine_name,company,state,latitude,longitude,mine_type,depth,production_tpd,workers,shift,working_hours,methane_ppm,co_ppm,co2_ppm,dust_mg_m3,temperature,humidity,ventilation_rate,equipment_age,equipment_fault_count,inspection_score,training_compliance,ppe_compliance,previous_accidents,previous_near_misses,open_compliance_issues,days_since_last_inspection,production_deviation,accident_occurred,accident_severity
mine-1,Jharia Open Cast Mine Pit-3,Bharat Coking Coal Limited (BCCL),Jharkhand,23.7500,86.4167,Open Cast,120,18500,850,Morning (A),8.0,820,28,2800,0.31,32.4,78,1.2,6.8,8,64,79,84,3,15,4,5,-14.2,1,Serious
mine-2,Raniganj Underground Mine Shaft-2,Eastern Coalfields Limited (ECL),West Bengal,23.6167,87.1333,Underground,350,7200,620,Morning (A),8.0,410,6,1200,0.14,34.8,84,2.4,4.1,2,92,96,98,0,2,1,2,2.8,0,None
mine-3,Talcher Open Cast Mine,Mahanadi Coalfields Limited (MCL),Odisha,20.9500,85.2167,Open Cast,95,24000,1100,Evening (B),8.0,550,12,1900,0.24,29.2,65,1.5,7.5,4,78,88,92,1,7,2,4,-1.5,0,None
mine-4,North Karanpura Opencast Project,Central Coalfields Limited (CCL),Jharkhand,23.8500,85.1500,Open Cast,210,12400,940,Night (C),8.0,1150,48,4600,0.42,36.1,88,0.7,9.2,14,46,62,71,4,26,6,17,-42.1,1,Fatal
mine-5,Gevra Open Cast Project,South Eastern Coalfields Limited (SECL),Chhattisgarh,22.3500,82.5600,Open Cast,180,45000,1450,Morning (A),8.0,320,8,1400,0.22,31.0,60,1.8,5.2,3,88,94,95,1,5,1,3,4.2,0,None
mine-6,Kusmunda Open Cast Mine,South Eastern Coalfields Limited (SECL),Chhattisgarh,22.3200,82.6800,Open Cast,160,38000,1280,Evening (B),8.0,480,14,1800,0.26,32.5,64,1.4,6.0,5,82,89,90,2,8,2,6,-2.8,0,None
mine-7,Moonidih Underground Deep Shaft,Bharat Coking Coal Limited (BCCL),Jharkhand,23.7300,86.3500,Underground,480,4200,780,Night (C),8.0,920,34,3100,0.29,37.2,89,1.1,7.8,9,58,74,80,3,18,5,9,-18.5,1,Serious
mine-8,Singrauli Northern Coalfield Pit-1,Northern Coalfields Limited (NCL),Madhya Pradesh,24.2000,82.6600,Open Cast,110,29000,980,Morning (A),8.0,290,5,1100,0.18,28.4,55,2.1,4.5,1,94,98,99,0,1,0,1,5.1,0,None
mine-9,Chandrapur Deep Open Cast,Western Coalfields Limited (WCL),Maharashtra,19.9500,79.3000,Open Cast,140,15200,720,Evening (B),8.0,610,22,2200,0.34,38.0,52,1.3,8.4,7,70,82,86,2,11,3,8,-8.4,1,Minor
mine-10,Kothagudem Underground Shaft-7,Singareni Collieries Company (SCCL),Telangana,17.5500,80.6200,Underground,310,5800,690,Night (C),8.0,780,26,2600,0.25,35.4,86,1.6,6.2,6,74,85,88,1,9,3,7,-5.2,1,Minor
